epoch,ts_ns,duty_a,duty_b,duty_c
116,5700000,0.801522,0.236385,0.687093
118,5800000,0.804774,0.237242,0.682984
120,5900000,0.807990,0.238152,0.678858
122,6000000,0.811169,0.239115,0.674716
124,6100000,0.814310,0.240132,0.670558
126,6200000,0.817414,0.241201,0.666385
128,6300000,0.820480,0.242323,0.662197
130,6400000,0.823507,0.243498,0.657996
132,6500000,0.826494,0.244725,0.653781
134,6600000,0.829442,0.246004,0.649554
136,6700000,0.832350,0.247335,0.645315
138,6800000,0.835217,0.248718,0.641066
140,6900000,0.838043,0.250152,0.636805
142,7000000,0.840827,0.251638,0.632535
144,7100000,0.843569,0.253174,0.628256
146,7200000,0.846270,0.254762,0.623969
148,7300000,0.848927,0.256400,0.619673
150,7400000,0.851541,0.258088,0.615371
152,7500000,0.854111,0.259827,0.611062
154,7600000,0.856637,0.261615,0.606748
156,7700000,0.859119,0.263453,0.602429
158,7800000,0.861556,0.265340,0.598105
160,7900000,0.863947,0.267275,0.593777
162,8000000,0.866293,0.269260,0.589447
164,8100000,0.868593,0.271292,0.585114
166,8200000,0.870847,0.273373,0.580780
168,8300000,0.873054,0.275501,0.576445
170,8400000,0.875213,0.277677,0.572110
172,8500000,0.877326,0.279899,0.567775
174,8600000,0.879390,0.282168,0.563441
176,8700000,0.881407,0.284484,0.559109
178,8800000,0.883375,0.286845,0.554780
180,8900000,0.885295,0.289252,0.550454
182,9000000,0.887165,0.291704,0.546131
184,9100000,0.888987,0.294200,0.541813
186,9200000,0.890758,0.296741,0.537501
188,9300000,0.892480,0.299326,0.533194
190,9400000,0.894152,0.301954,0.528894
192,9500000,0.895773,0.304626,0.524601
194,9600000,0.897343,0.307340,0.520317
196,9700000,0.898863,0.310096,0.516040
198,9800000,0.900332,0.312895,0.511774
200,9900000,0.901749,0.315734,0.507517
202,10000000,0.903114,0.318615,0.503270
204,10100000,0.904428,0.321536,0.499036
206,10200000,0.905690,0.324497,0.494813
208,10300000,0.906900,0.327498,0.490602
210,10400000,0.908057,0.330538,0.486406
212,10500000,0.909161,0.333616,0.482223
214,10600000,0.910213,0.336733,0.478054
216,10700000,0.911212,0.339887,0.473901
218,10800000,0.912158,0.343078,0.469764
220,10900000,0.913050,0.346306,0.465644
222,11000000,0.913889,0.349570,0.461541
224,11100000,0.914675,0.352869,0.457456
226,11200000,0.915407,0.356204,0.453389
228,11300000,0.916085,0.359573,0.449342
230,11400000,0.916709,0.362977,0.445314
232,11500000,0.917280,0.366413,0.441307
234,11600000,0.917796,0.369883,0.437321
236,11700000,0.918258,0.373385,0.433357
238,11800000,0.918666,0.376919,0.429415
240,11900000,0.919020,0.380484,0.425496
242,12000000,0.919319,0.384080,0.421601
244,12100000,0.919564,0.387706,0.417730
246,12200000,0.919755,0.391362,0.413884
248,12300000,0.919891,0.395046,0.410063
250,12400000,0.919973,0.398759,0.406268
252,12500000,0.920000,0.402500,0.402500
254,12600000,0.919973,0.406268,0.398759
256,12700000,0.919891,0.410063,0.395046
258,12800000,0.919755,0.413884,0.391362
260,12900000,0.919564,0.417730,0.387706
262,13000000,0.919319,0.421601,0.384080
264,13100000,0.919020,0.425496,0.380484
266,13200000,0.918666,0.429415,0.376919
268,13300000,0.918258,0.433357,0.373385
270,13400000,0.917796,0.437321,0.369883
272,13500000,0.917280,0.441307,0.366413
274,13600000,0.916709,0.445314,0.362977
276,13700000,0.916085,0.449342,0.359573
278,13800000,0.915407,0.453389,0.356204
280,13900000,0.914675,0.457456,0.352869
282,14000000,0.913889,0.461541,0.349570
284,14100000,0.913050,0.465644,0.346306
286,14200000,0.912158,0.469764,0.343078
288,14300000,0.911212,0.473901,0.339887
290,14400000,0.910213,0.478054,0.336733
292,14500000,0.909161,0.482223,0.333616
294,14600000,0.908057,0.486406,0.330538
296,14700000,0.906900,0.490602,0.327498
298,14800000,0.905690,0.494813,0.324497
300,14900000,0.904428,0.499036,0.321536
302,15000000,0.903114,0.503270,0.318615
304,15100000,0.901749,0.507517,0.315734
306,15200000,0.900332,0.511774,0.312895
308,15300000,0.898863,0.516040,0.310096
310,15400000,0.897343,0.520317,0.307340
312,15500000,0.895773,0.524601,0.304626
314,15600000,0.894152,0.528894,0.301954
316,15700000,0.892480,0.533194,0.299326
318,15800000,0.890758,0.537501,0.296741
320,15900000,0.888987,0.541813,0.294200
322,16000000,0.887165,0.546131,0.291704
324,16100000,0.885295,0.550454,0.289252
326,16200000,0.883375,0.554780,0.286845
328,16300000,0.881407,0.559109,0.284484
330,16400000,0.879390,0.563441,0.282168
332,16500000,0.877326,0.567775,0.279899
334,16600000,0.875213,0.572110,0.277677
336,16700000,0.873054,0.576445,0.275501
338,16800000,0.870847,0.580780,0.273373
340,16900000,0.868593,0.585114,0.271292
342,17000000,0.866293,0.589447,0.269260
344,17100000,0.863947,0.593777,0.267275
346,17200000,0.861556,0.598105,0.265340
348,17300000,0.859119,0.602429,0.263453
350,17400000,0.856637,0.606748,0.261615
352,17500000,0.854111,0.611062,0.259827
354,17600000,0.851541,0.615371,0.258088
356,17700000,0.848927,0.619673,0.256400
358,17800000,0.846270,0.623969,0.254762
360,17900000,0.843569,0.628256,0.253174
362,18000000,0.840827,0.632535,0.251638
364,18100000,0.838043,0.636805,0.250152
366,18200000,0.835217,0.641066,0.248718
368,18300000,0.832350,0.645315,0.247335
370,18400000,0.829442,0.649554,0.246004
372,18500000,0.826494,0.653781,0.244725
374,18600000,0.823507,0.657996,0.243498
376,18700000,0.820480,0.662197,0.242323
378,18800000,0.817414,0.666385,0.241201
380,18900000,0.814310,0.670558,0.240132
382,19000000,0.811169,0.674716,0.239115
384,19100000,0.807990,0.678858,0.238152
386,19200000,0.804774,0.682984,0.237242
388,19300000,0.801522,0.687093,0.236385
390,19400000,0.798234,0.691184,0.235581
392,19500000,0.794911,0.695257,0.234831
394,19600000,0.791554,0.699311,0.234135
396,19700000,0.788162,0.703346,0.233493
398,19800000,0.784736,0.707359,0.232905
400,19900000,0.781277,0.711353,0.232370
402,20000000,0.777786,0.715324,0.231890
404,20100000,0.774263,0.719274,0.231464
406,20200000,0.770708,0.723200,0.231092
408,20300000,0.767122,0.727103,0.230775
410,20400000,0.763506,0.730983,0.230511
412,20500000,0.759860,0.734837,0.230303
414,20600000,0.756185,0.738666,0.230148
416,20700000,0.752482,0.742470,0.230048
418,20800000,0.748750,0.746247,0.230003
420,20900000,0.744991,0.749997,0.230012
422,21000000,0.741205,0.753719,0.230076
424,21100000,0.737393,0.757413,0.230194
426,21200000,0.733555,0.761079,0.230366
428,21300000,0.729692,0.764715,0.230593
430,21400000,0.725805,0.768321,0.230874
432,21500000,0.721894,0.771896,0.231210
434,21600000,0.717960,0.775441,0.231600
436,21700000,0.714003,0.778953,0.232044
438,21800000,0.710024,0.782434,0.232542
440,21900000,0.706024,0.785882,0.233095
442,22000000,0.702003,0.789296,0.233701
444,22100000,0.697962,0.792677,0.234361
446,22200000,0.693902,0.796023,0.235075
448,22300000,0.689823,0.799334,0.235843
450,22400000,0.685726,0.802610,0.236664
452,22500000,0.681611,0.805850,0.237539
454,22600000,0.677479,0.809054,0.238467
456,22700000,0.673332,0.812220,0.239448
458,22800000,0.669168,0.815349,0.240482
460,22900000,0.664990,0.818440,0.241569
462,23000000,0.660798,0.821493,0.242709
464,23100000,0.656592,0.824507,0.243901
466,23200000,0.652373,0.827481,0.245145
468,23300000,0.648142,0.830416,0.246442
470,23400000,0.643900,0.833310,0.247790
472,23500000,0.639647,0.836163,0.249190
474,23600000,0.635383,0.838975,0.250642
476,23700000,0.631110,0.841746,0.252144
478,23800000,0.626828,0.844474,0.253698
480,23900000,0.622538,0.847160,0.255302
482,24000000,0.618240,0.849803,0.256957
484,24100000,0.613935,0.852402,0.258662
486,24200000,0.609625,0.854958,0.260417
488,24300000,0.605309,0.857469,0.262222
490,24400000,0.600988,0.859936,0.264076
492,24500000,0.596663,0.862358,0.265979
494,24600000,0.592334,0.864734,0.267931
496,24700000,0.588003,0.867065,0.269932
498,24800000,0.583670,0.869349,0.271981
500,24900000,0.579335,0.871588,0.274077
502,25000000,0.575000,0.873779,0.276221
504,25100000,0.570665,0.875923,0.278412
506,25200000,0.566330,0.878019,0.280651
508,25300000,0.561997,0.880068,0.282935
510,25400000,0.557666,0.882069,0.285266
512,25500000,0.553337,0.884021,0.287642
514,25600000,0.549012,0.885924,0.290064
516,25700000,0.544691,0.887778,0.292531
518,25800000,0.540375,0.889583,0.295042
520,25900000,0.536065,0.891338,0.297598
522,26000000,0.531760,0.893043,0.300197
524,26100000,0.527462,0.894698,0.302840
526,26200000,0.523172,0.896302,0.305526
528,26300000,0.518890,0.897856,0.308254
530,26400000,0.514617,0.899358,0.311025
532,26500000,0.510353,0.900810,0.313837
534,26600000,0.506100,0.902210,0.316690
536,26700000,0.501858,0.903558,0.319584
538,26800000,0.497627,0.904855,0.322519
540,26900000,0.493408,0.906099,0.325493
542,27000000,0.489202,0.907291,0.328507
544,27100000,0.485010,0.908431,0.331560
546,27200000,0.480832,0.909518,0.334651
548,27300000,0.476668,0.910552,0.337780
550,27400000,0.472521,0.911533,0.340946
552,27500000,0.468389,0.912461,0.344150
554,27600000,0.464274,0.913336,0.347390
556,27700000,0.460177,0.914157,0.350666
558,27800000,0.456098,0.914925,0.353977
560,27900000,0.452038,0.915639,0.357323
562,28000000,0.447997,0.916299,0.360704
564,28100000,0.443976,0.916905,0.364118
566,28200000,0.439976,0.917458,0.367566
568,28300000,0.435997,0.917956,0.371047
570,28400000,0.432040,0.918400,0.374559
572,28500000,0.428106,0.918790,0.378104
574,28600000,0.424195,0.919126,0.381679
576,28700000,0.420308,0.919407,0.385285
578,28800000,0.416445,0.919634,0.388921
580,28900000,0.412607,0.919806,0.392587
582,29000000,0.408795,0.919924,0.396281
584,29100000,0.405009,0.919988,0.400003
586,29200000,0.401250,0.919997,0.403753
588,29300000,0.397518,0.919952,0.407530
590,29400000,0.393815,0.919852,0.411334
592,29500000,0.390140,0.919697,0.415163
594,29600000,0.386494,0.919489,0.419017
596,29700000,0.382878,0.919225,0.422897
598,29800000,0.379292,0.918908,0.426800
600,29900000,0.375737,0.918536,0.430726
602,30000000,0.372214,0.918110,0.434676
604,30100000,0.368723,0.917630,0.438647
606,30200000,0.365264,0.917095,0.442641
608,30300000,0.361838,0.916507,0.446654
610,30400000,0.358446,0.915865,0.450689
612,30500000,0.355089,0.915169,0.454743
614,30600000,0.351766,0.914419,0.458816
616,30700000,0.348478,0.913615,0.462907
618,30800000,0.345226,0.912758,0.467016
620,30900000,0.342010,0.911848,0.471142
622,31000000,0.338831,0.910885,0.475284
624,31100000,0.335690,0.909868,0.479442
626,31200000,0.332586,0.908799,0.483615
628,31300000,0.329520,0.907677,0.487803
630,31400000,0.326493,0.906502,0.492004
632,31500000,0.323506,0.905275,0.496219
634,31600000,0.320558,0.903996,0.500446
636,31700000,0.317650,0.902665,0.504685
638,31800000,0.314783,0.901282,0.508934
640,31900000,0.311957,0.899848,0.513195
642,32000000,0.309173,0.898362,0.517465
644,32100000,0.306431,0.896826,0.521744
646,32200000,0.303730,0.895238,0.526031
648,32300000,0.301073,0.893600,0.530327
650,32400000,0.298459,0.891912,0.534629
652,32500000,0.295889,0.890173,0.538938
654,32600000,0.293363,0.888385,0.543252
656,32700000,0.290881,0.886547,0.547571
658,32800000,0.288444,0.884660,0.551895
660,32900000,0.286053,0.882725,0.556223
662,33000000,0.283707,0.880740,0.560553
664,33100000,0.281407,0.878708,0.564886
666,33200000,0.279153,0.876627,0.569220
668,33300000,0.276946,0.874499,0.573555
670,33400000,0.274787,0.872323,0.577890
672,33500000,0.272674,0.870101,0.582225
674,33600000,0.270610,0.867832,0.586559
676,33700000,0.268593,0.865516,0.590891
678,33800000,0.266625,0.863155,0.595220
680,33900000,0.264705,0.860748,0.599546
682,34000000,0.262835,0.858296,0.603869
684,34100000,0.261013,0.855800,0.608187
686,34200000,0.259242,0.853259,0.612499
688,34300000,0.257520,0.850674,0.616806
690,34400000,0.255848,0.848046,0.621106
692,34500000,0.254227,0.845374,0.625399
694,34600000,0.252657,0.842660,0.629683
696,34700000,0.251137,0.839904,0.633960
698,34800000,0.249668,0.837105,0.638226
700,34900000,0.248251,0.834266,0.642483
702,35000000,0.246886,0.831385,0.646730
704,35100000,0.245572,0.828464,0.650964
706,35200000,0.244310,0.825503,0.655187
708,35300000,0.243100,0.822502,0.659398
710,35400000,0.241943,0.819462,0.663594
712,35500000,0.240839,0.816384,0.667777
714,35600000,0.239787,0.813267,0.671946
716,35700000,0.238788,0.810113,0.676099
718,35800000,0.237842,0.806922,0.680236
720,35900000,0.236950,0.803694,0.684356
722,36000000,0.236111,0.800430,0.688459
724,36100000,0.235325,0.797131,0.692544
726,36200000,0.234593,0.793796,0.696611
728,36300000,0.233915,0.790427,0.700658
730,36400000,0.233291,0.787023,0.704686
732,36500000,0.232720,0.783587,0.708693
734,36600000,0.232204,0.780117,0.712679
736,36700000,0.231742,0.776615,0.716643
738,36800000,0.231334,0.773081,0.720585
740,36900000,0.230980,0.769516,0.724504
742,37000000,0.230681,0.765920,0.728399
744,37100000,0.230436,0.762294,0.732270
746,37200000,0.230245,0.758638,0.736116
748,37300000,0.230109,0.754954,0.739937
750,37400000,0.230027,0.751241,0.743732
752,37500000,0.230000,0.747500,0.747500
754,37600000,0.230027,0.743732,0.751241
756,37700000,0.230109,0.739937,0.754954
758,37800000,0.230245,0.736116,0.758638
760,37900000,0.230436,0.732270,0.762294
762,38000000,0.230681,0.728399,0.765920
764,38100000,0.230980,0.724504,0.769516
766,38200000,0.231334,0.720585,0.773081
768,38300000,0.231742,0.716643,0.776615
770,38400000,0.232204,0.712679,0.780117
772,38500000,0.232720,0.708693,0.783587
774,38600000,0.233291,0.704686,0.787023
776,38700000,0.233915,0.700658,0.790427
778,38800000,0.234593,0.696611,0.793796
780,38900000,0.235325,0.692544,0.797131
782,39000000,0.236111,0.688459,0.800430
784,39100000,0.236950,0.684356,0.803694
786,39200000,0.237842,0.680236,0.806922
788,39300000,0.238788,0.676099,0.810113
790,39400000,0.239787,0.671946,0.813267
792,39500000,0.240839,0.667777,0.816384
794,39600000,0.241943,0.663594,0.819462
796,39700000,0.243100,0.659398,0.822502
798,39800000,0.244310,0.655187,0.825503
800,39900000,0.245572,0.650964,0.828464
802,40000000,0.246886,0.646730,0.831385
804,40100000,0.248251,0.642483,0.834266
806,40200000,0.249668,0.638226,0.837105
808,40300000,0.251137,0.633960,0.839904
810,40400000,0.252657,0.629683,0.842660
812,40500000,0.254227,0.625399,0.845374
814,40600000,0.255848,0.621106,0.848046
816,40700000,0.257520,0.616806,0.850674
818,40800000,0.259242,0.612499,0.853259
820,40900000,0.261013,0.608187,0.855800
822,41000000,0.262835,0.603869,0.858296
824,41100000,0.264705,0.599546,0.860748
826,41200000,0.266625,0.595220,0.863155
828,41300000,0.268593,0.590891,0.865516
830,41400000,0.270610,0.586559,0.867832
832,41500000,0.272674,0.582225,0.870101
834,41600000,0.274787,0.577890,0.872323
836,41700000,0.276946,0.573555,0.874499
838,41800000,0.279153,0.569220,0.876627
840,41900000,0.281407,0.564886,0.878708
842,42000000,0.283707,0.560553,0.880740
844,42100000,0.286053,0.556223,0.882725
846,42200000,0.288444,0.551895,0.884660
848,42300000,0.290881,0.547571,0.886547
850,42400000,0.293363,0.543252,0.888385
852,42500000,0.295889,0.538938,0.890173
854,42600000,0.298459,0.534629,0.891912
856,42700000,0.301073,0.530327,0.893600
858,42800000,0.303730,0.526031,0.895238
860,42900000,0.306431,0.521744,0.896826
862,43000000,0.309173,0.517465,0.898362
864,43100000,0.311957,0.513195,0.899848
866,43200000,0.314783,0.508934,0.901282
868,43300000,0.317650,0.504685,0.902665
870,43400000,0.320558,0.500446,0.903996
872,43500000,0.323506,0.496219,0.905275
874,43600000,0.326493,0.492004,0.906502
876,43700000,0.329520,0.487803,0.907677
878,43800000,0.332586,0.483615,0.908799
880,43900000,0.335690,0.479442,0.909868
882,44000000,0.338831,0.475284,0.910885
884,44100000,0.342010,0.471142,0.911848
886,44200000,0.345226,0.467016,0.912758
888,44300000,0.348478,0.462907,0.913615
890,44400000,0.351766,0.458816,0.914419
892,44500000,0.355089,0.454743,0.915169
894,44600000,0.358446,0.450689,0.915865
896,44700000,0.361838,0.446654,0.916507
898,44800000,0.365264,0.442641,0.917095
900,44900000,0.368723,0.438647,0.917630
902,45000000,0.372214,0.434676,0.918110
904,45100000,0.375737,0.430726,0.918536
906,45200000,0.379292,0.426800,0.918908
908,45300000,0.382878,0.422897,0.919225
910,45400000,0.386494,0.419017,0.919489
912,45500000,0.390140,0.415163,0.919697
914,45600000,0.393815,0.411334,0.919852
916,45700000,0.397518,0.407530,0.919952
918,45800000,0.401250,0.403753,0.919997
920,45900000,0.405009,0.400003,0.919988
922,46000000,0.408795,0.396281,0.919924
924,46100000,0.412607,0.392587,0.919806
926,46200000,0.416445,0.388921,0.919634
928,46300000,0.420308,0.385285,0.919407
930,46400000,0.424195,0.381679,0.919126
932,46500000,0.428106,0.378104,0.918790
934,46600000,0.432040,0.374559,0.918400
936,46700000,0.435997,0.371047,0.917956
938,46800000,0.439976,0.367566,0.917458
940,46900000,0.443976,0.364118,0.916905
942,47000000,0.447997,0.360704,0.916299
944,47100000,0.452038,0.357323,0.915639
946,47200000,0.456098,0.353977,0.914925
948,47300000,0.460177,0.350666,0.914157
950,47400000,0.464274,0.347390,0.913336
952,47500000,0.468389,0.344150,0.912461
954,47600000,0.472521,0.340946,0.911533
956,47700000,0.476668,0.337780,0.910552
958,47800000,0.480832,0.334651,0.909518
960,47900000,0.485010,0.331560,0.908431
962,48000000,0.489202,0.328507,0.907291
964,48100000,0.493408,0.325493,0.906099
966,48200000,0.497627,0.322519,0.904855
968,48300000,0.501858,0.319584,0.903558
970,48400000,0.506100,0.316690,0.902210
972,48500000,0.510353,0.313837,0.900810
974,48600000,0.514617,0.311025,0.899358
976,48700000,0.518890,0.308254,0.897856
978,48800000,0.523172,0.305526,0.896302
980,48900000,0.527462,0.302840,0.894698
982,49000000,0.531760,0.300197,0.893043
984,49100000,0.536065,0.297598,0.891338
986,49200000,0.540375,0.295042,0.889583
988,49300000,0.544691,0.292531,0.887778
990,49400000,0.549012,0.290064,0.885924
992,49500000,0.553337,0.287642,0.884021
994,49600000,0.557666,0.285266,0.882069
996,49700000,0.561997,0.282935,0.880068
998,49800000,0.566330,0.280651,0.878019
1000,49900000,0.570665,0.278412,0.875923
1002,50000000,0.575000,0.276221,0.873779
1004,50100000,0.579335,0.274077,0.871588
1006,50200000,0.583670,0.271981,0.869349
1008,50300000,0.588003,0.269932,0.867065
1010,50400000,0.592334,0.267931,0.864734
1012,50500000,0.596663,0.265979,0.862358
1014,50600000,0.600988,0.264076,0.859936
1016,50700000,0.605309,0.262222,0.857469
1018,50800000,0.609625,0.260417,0.854958
1020,50900000,0.613935,0.258662,0.852402
1022,51000000,0.618240,0.256957,0.849803
1024,51100000,0.622538,0.255302,0.847160
1026,51200000,0.626828,0.253698,0.844474
1028,51300000,0.631110,0.252144,0.841746
1030,51400000,0.635383,0.250642,0.838975
1032,51500000,0.639647,0.249190,0.836163
1034,51600000,0.643900,0.247790,0.833310
1036,51700000,0.648142,0.246442,0.830416
1038,51800000,0.652373,0.245145,0.827481
1040,51900000,0.656592,0.243901,0.824507
1042,52000000,0.660798,0.242709,0.821493
1044,52100000,0.664990,0.241569,0.818440
1046,52200000,0.669168,0.240482,0.815349
1048,52300000,0.673332,0.239448,0.812220
1050,52400000,0.677479,0.238467,0.809054
1052,52500000,0.681611,0.237539,0.805850
1054,52600000,0.685726,0.236664,0.802610
1056,52700000,0.689823,0.235843,0.799334
1058,52800000,0.693902,0.235075,0.796023
1060,52900000,0.697962,0.234361,0.792677
1062,53000000,0.702003,0.233701,0.789296
1064,53100000,0.706024,0.233095,0.785882
1066,53200000,0.710024,0.232542,0.782434
1068,53300000,0.714003,0.232044,0.778953
1070,53400000,0.717960,0.231600,0.775441
1072,53500000,0.721894,0.231210,0.771896
1074,53600000,0.725805,0.230874,0.768321
1076,53700000,0.729692,0.230593,0.764715
1078,53800000,0.733555,0.230366,0.761079
1080,53900000,0.737393,0.230194,0.757413
1082,54000000,0.741205,0.230076,0.753719
1084,54100000,0.744991,0.230012,0.749997
1086,54200000,0.748750,0.230003,0.746247
1088,54300000,0.752482,0.230048,0.742470
1090,54400000,0.756185,0.230148,0.738666
1092,54500000,0.759860,0.230303,0.734837
1094,54600000,0.763506,0.230511,0.730983
1096,54700000,0.767122,0.230775,0.727103
1098,54800000,0.770708,0.231092,0.723200
1100,54900000,0.774263,0.231464,0.719274
1102,55000000,0.777786,0.231890,0.715324
1104,55100000,0.781277,0.232370,0.711353
1106,55200000,0.784736,0.232905,0.707359
1108,55300000,0.788162,0.233493,0.703346
1110,55400000,0.791554,0.234135,0.699311
1112,55500000,0.794911,0.234831,0.695257
1114,55600000,0.798234,0.235581,0.691184
1116,55700000,0.801522,0.236385,0.687093
1118,55800000,0.804774,0.237242,0.682984
1120,55900000,0.807990,0.238152,0.678858
1122,56000000,0.811169,0.239115,0.674716
1124,56100000,0.814310,0.240132,0.670558
1126,56200000,0.817414,0.241201,0.666385
1128,56300000,0.820480,0.242323,0.662197
1130,56400000,0.823507,0.243498,0.657996
1132,56500000,0.826494,0.244725,0.653781
1134,56600000,0.829442,0.246004,0.649554
1136,56700000,0.832350,0.247335,0.645315
1138,56800000,0.835217,0.248718,0.641066
1140,56900000,0.838043,0.250152,0.636805
1142,57000000,0.840827,0.251638,0.632535
1144,57100000,0.843569,0.253174,0.628256
1146,57200000,0.846270,0.254762,0.623969
1148,57300000,0.848927,0.256400,0.619673
1150,57400000,0.851541,0.258088,0.615371
1152,57500000,0.854111,0.259827,0.611062
1154,57600000,0.856637,0.261615,0.606748
1156,57700000,0.859119,0.263453,0.602429
1158,57800000,0.861556,0.265340,0.598105
1160,57900000,0.863947,0.267275,0.593777
1162,58000000,0.866293,0.269260,0.589447
1164,58100000,0.868593,0.271292,0.585114
1166,58200000,0.870847,0.273373,0.580780
1168,58300000,0.873054,0.275501,0.576445
1170,58400000,0.875213,0.277677,0.572110
1172,58500000,0.877326,0.279899,0.567775
1174,58600000,0.879390,0.282168,0.563441
1176,58700000,0.881407,0.284484,0.559109
1178,58800000,0.883375,0.286845,0.554780
1180,58900000,0.885295,0.289252,0.550454
1182,59000000,0.887165,0.291704,0.546131
1184,59100000,0.888987,0.294200,0.541813
1186,59200000,0.890758,0.296741,0.537501
1188,59300000,0.892480,0.299326,0.533194
1190,59400000,0.894152,0.301954,0.528894
1192,59500000,0.895773,0.304626,0.524601
1194,59600000,0.897343,0.307340,0.520317
1196,59700000,0.898863,0.310096,0.516040
1198,59800000,0.900332,0.312895,0.511774
1200,59900000,0.901749,0.315734,0.507517
1202,60000000,0.903114,0.318615,0.503270
1204,60100000,0.904428,0.321536,0.499036
1206,60200000,0.905690,0.324497,0.494813
1208,60300000,0.906900,0.327498,0.490602
1210,60400000,0.908057,0.330538,0.486406
1212,60500000,0.909161,0.333616,0.482223
1214,60600000,0.910213,0.336733,0.478054
1216,60700000,0.911212,0.339887,0.473901
1218,60800000,0.912158,0.343078,0.469764
1220,60900000,0.913050,0.346306,0.465644
1222,61000000,0.913889,0.349570,0.461541
1224,61100000,0.914675,0.352869,0.457456
1226,61200000,0.915407,0.356204,0.453389
1228,61300000,0.916085,0.359573,0.449342
1230,61400000,0.916709,0.362977,0.445314
1232,61500000,0.917280,0.366413,0.441307
1234,61600000,0.917796,0.369883,0.437321
1236,61700000,0.918258,0.373385,0.433357
1238,61800000,0.918666,0.376919,0.429415
1240,61900000,0.919020,0.380484,0.425496
1242,62000000,0.919319,0.384080,0.421601
1244,62100000,0.919564,0.387706,0.417730
1246,62200000,0.919755,0.391362,0.413884
1248,62300000,0.919891,0.395046,0.410063
1250,62400000,0.919973,0.398759,0.406268
1252,62500000,0.920000,0.402500,0.402500
1254,62600000,0.919973,0.406268,0.398759
1256,62700000,0.919891,0.410063,0.395046
1258,62800000,0.919755,0.413884,0.391362
1260,62900000,0.919564,0.417730,0.387706
1262,63000000,0.919319,0.421601,0.384080
1264,63100000,0.919020,0.425496,0.380484
1266,63200000,0.918666,0.429415,0.376919
1268,63300000,0.918258,0.433357,0.373385
1270,63400000,0.917796,0.437321,0.369883
1272,63500000,0.917280,0.441307,0.366413
1274,63600000,0.916709,0.445314,0.362977
1276,63700000,0.916085,0.449342,0.359573
1278,63800000,0.915407,0.453389,0.356204
1280,63900000,0.914675,0.457456,0.352869
1282,64000000,0.913889,0.461541,0.349570
1284,64100000,0.913050,0.465644,0.346306
1286,64200000,0.912158,0.469764,0.343078
1288,64300000,0.911212,0.473901,0.339887
1290,64400000,0.910213,0.478054,0.336733
1292,64500000,0.909161,0.482223,0.333616
1294,64600000,0.908057,0.486406,0.330538
1296,64700000,0.906900,0.490602,0.327498
1298,64800000,0.905690,0.494813,0.324497
1300,64900000,0.904428,0.499036,0.321536
1302,65000000,0.903114,0.503270,0.318615
1304,65100000,0.901749,0.507517,0.315734
1306,65200000,0.900332,0.511774,0.312895
1308,65300000,0.898863,0.516040,0.310096
1310,65400000,0.897343,0.520317,0.307340
1312,65500000,0.895773,0.524601,0.304626
1314,65600000,0.894152,0.528894,0.301954
