epoch,ts_ns,duty_a,duty_b,duty_c,config_id
324,16100000,0.769822,0.478655,0.251523,2
326,16200000,0.768152,0.482417,0.249430,2
328,16300000,0.766441,0.486182,0.247377,2
330,16400000,0.764687,0.489949,0.245364,2
332,16500000,0.762892,0.493717,0.243391,2
334,16600000,0.761055,0.497487,0.241458,2
336,16700000,0.759177,0.501257,0.239566,2
338,16800000,0.757258,0.505026,0.237716,2
340,16900000,0.755298,0.508795,0.235906,2
342,17000000,0.753298,0.512563,0.234139,2
344,17100000,0.751258,0.516328,0.232413,2
346,17200000,0.749179,0.520091,0.230730,2
348,17300000,0.747060,0.523851,0.229089,2
350,17400000,0.744902,0.527607,0.227491,2
352,17500000,0.742705,0.531359,0.225936,2
354,17600000,0.740470,0.535105,0.224425,2
356,17700000,0.738197,0.538846,0.222957,2
358,17800000,0.735887,0.542581,0.221532,2
360,17900000,0.733539,0.546310,0.220152,2
362,18000000,0.731154,0.550031,0.218815,2
364,18100000,0.728733,0.553744,0.217524,2
366,18200000,0.726275,0.557448,0.216276,2
368,18300000,0.723782,0.561144,0.215074,2
370,18400000,0.721254,0.564830,0.213916,2
372,18500000,0.718691,0.568505,0.212804,2
374,18600000,0.716093,0.572170,0.211737,2
376,18700000,0.713461,0.575823,0.210716,2
378,18800000,0.710795,0.579465,0.209740,2
380,18900000,0.708096,0.583094,0.208810,2
382,19000000,0.705364,0.586710,0.207926,2
384,19100000,0.702600,0.590312,0.207089,2
386,19200000,0.699804,0.593899,0.206297,2
388,19300000,0.696976,0.597472,0.205552,2
390,19400000,0.694117,0.601030,0.204853,2
392,19500000,0.691227,0.604572,0.204201,2
394,19600000,0.688307,0.608097,0.203596,2
396,19700000,0.685358,0.611605,0.203037,2
398,19800000,0.682379,0.615095,0.202526,2
400,19900000,0.679371,0.618567,0.202061,2
402,20000000,0.676336,0.622021,0.201643,2
404,20100000,0.673272,0.625455,0.201273,2
406,20200000,0.670181,0.628870,0.200950,2
408,20300000,0.667063,0.632264,0.200674,2
410,20400000,0.663918,0.635637,0.200445,2
412,20500000,0.660748,0.638989,0.200263,2
414,20600000,0.657552,0.642319,0.200129,2
416,20700000,0.654332,0.645626,0.200042,2
418,20800000,0.651087,0.648910,0.200003,2
420,20900000,0.647818,0.652171,0.200011,2
422,21000000,0.644526,0.655408,0.200066,2
424,21100000,0.641211,0.658620,0.200168,2
426,21200000,0.637874,0.661808,0.200318,2
428,21300000,0.634515,0.664969,0.200516,2
430,21400000,0.631135,0.668105,0.200760,2
432,21500000,0.627734,0.671214,0.201052,2
434,21600000,0.624313,0.674296,0.201391,2
436,21700000,0.620872,0.677351,0.201777,2
438,21800000,0.617412,0.680377,0.202211,2
440,21900000,0.613934,0.683375,0.202691,2
442,22000000,0.610437,0.686344,0.203218,2
444,22100000,0.606924,0.689284,0.203792,2
446,22200000,0.603393,0.692194,0.204413,2
448,22300000,0.599846,0.695073,0.205081,2
450,22400000,0.596283,0.697922,0.205795,2
452,22500000,0.592705,0.700739,0.206556,2
454,22600000,0.589112,0.703525,0.207363,2
456,22700000,0.585506,0.706278,0.208216,2
458,22800000,0.581886,0.708999,0.209115,2
460,22900000,0.578252,0.711687,0.210060,2
462,23000000,0.574607,0.714342,0.211051,2
464,23100000,0.570950,0.716962,0.212088,2
466,23200000,0.567281,0.719549,0.213170,2
468,23300000,0.563602,0.722101,0.214297,2
470,23400000,0.559913,0.724617,0.215470,2
472,23500000,0.556214,0.727099,0.216687,2
474,23600000,0.552507,0.729544,0.217949,2
476,23700000,0.548791,0.731953,0.219256,2
478,23800000,0.545068,0.734325,0.220607,2
480,23900000,0.541337,0.736661,0.222002,2
482,24000000,0.537600,0.738959,0.223441,2
484,24100000,0.533857,0.741219,0.224924,2
486,24200000,0.530109,0.743442,0.226450,2
488,24300000,0.526355,0.745625,0.228019,2
490,24400000,0.522598,0.747770,0.229631,2
492,24500000,0.518837,0.749876,0.231286,2
494,24600000,0.515073,0.751943,0.232984,2
496,24700000,0.511307,0.753969,0.234723,2
498,24800000,0.507539,0.755956,0.236505,2
500,24900000,0.503770,0.757902,0.238328,2
502,25000000,0.500000,0.759808,0.240192,2
504,25100000,0.496230,0.761672,0.242098,2
506,25200000,0.492461,0.763495,0.244044,2
508,25300000,0.488693,0.765277,0.246031,2
510,25400000,0.484927,0.767016,0.248057,2
512,25500000,0.481163,0.768714,0.250124,2
514,25600000,0.477402,0.770369,0.252230,2
516,25700000,0.473645,0.771981,0.254375,2
518,25800000,0.469891,0.773550,0.256558,2
520,25900000,0.466143,0.775076,0.258781,2
522,26000000,0.462400,0.776559,0.261041,2
524,26100000,0.458663,0.777998,0.263339,2
526,26200000,0.454932,0.779393,0.265675,2
528,26300000,0.451209,0.780744,0.268047,2
530,26400000,0.447493,0.782051,0.270456,2
532,26500000,0.443786,0.783313,0.272901,2
534,26600000,0.440087,0.784530,0.275383,2
536,26700000,0.436398,0.785703,0.277899,2
538,26800000,0.432719,0.786830,0.280451,2
540,26900000,0.429050,0.787912,0.283038,2
542,27000000,0.425393,0.788949,0.285658,2
544,27100000,0.421748,0.789940,0.288313,2
546,27200000,0.418114,0.790885,0.291001,2
548,27300000,0.414494,0.791784,0.293722,2
550,27400000,0.410888,0.792637,0.296475,2
552,27500000,0.407295,0.793444,0.299261,2
554,27600000,0.403717,0.794205,0.302078,2
556,27700000,0.400154,0.794919,0.304927,2
558,27800000,0.396607,0.795587,0.307806,2
560,27900000,0.393076,0.796208,0.310716,2
562,28000000,0.389563,0.796782,0.313656,2
564,28100000,0.386066,0.797309,0.316625,2
566,28200000,0.382588,0.797789,0.319623,2
568,28300000,0.379128,0.798223,0.322649,2
570,28400000,0.375687,0.798609,0.325704,2
572,28500000,0.372266,0.798948,0.328786,2
574,28600000,0.368865,0.799240,0.331895,2
576,28700000,0.365485,0.799484,0.335031,2
578,28800000,0.362126,0.799682,0.338192,2
580,28900000,0.358789,0.799832,0.341380,2
582,29000000,0.355474,0.799934,0.344592,2
584,29100000,0.352182,0.799989,0.347829,2
586,29200000,0.348913,0.799997,0.351090,2
588,29300000,0.345668,0.799958,0.354374,2
590,29400000,0.342448,0.799871,0.357681,2
592,29500000,0.339252,0.799737,0.361011,2
594,29600000,0.336082,0.799555,0.364363,2
596,29700000,0.332937,0.799326,0.367736,2
598,29800000,0.329819,0.799050,0.371130,2
600,29900000,0.326728,0.798727,0.374545,2
602,30000000,0.323664,0.798357,0.377979,2
604,30100000,0.320629,0.797939,0.381433,2
606,30200000,0.317621,0.797474,0.384905,2
608,30300000,0.314642,0.796963,0.388395,2
610,30400000,0.311693,0.796404,0.391903,2
612,30500000,0.308773,0.795799,0.395428,2
614,30600000,0.305883,0.795147,0.398970,2
616,30700000,0.303024,0.794448,0.402528,2
618,30800000,0.300196,0.793703,0.406101,2
620,30900000,0.297400,0.792911,0.409688,2
622,31000000,0.294636,0.792074,0.413290,2
624,31100000,0.291904,0.791190,0.416906,2
626,31200000,0.289205,0.790260,0.420535,2
628,31300000,0.286539,0.789284,0.424177,2
630,31400000,0.283907,0.788263,0.427830,2
632,31500000,0.281309,0.787196,0.431495,2
634,31600000,0.278746,0.786084,0.435170,2
636,31700000,0.276218,0.784926,0.438856,2
638,31800000,0.273725,0.783724,0.442552,2
640,31900000,0.271267,0.782476,0.446256,2
642,32000000,0.268846,0.781185,0.449969,2
644,32100000,0.266461,0.779848,0.453690,2
646,32200000,0.264113,0.778468,0.457419,2
648,32300000,0.261803,0.777043,0.461154,2
650,32400000,0.259530,0.775575,0.464895,2
652,32500000,0.257295,0.774064,0.468641,2
654,32600000,0.255098,0.772509,0.472393,2
656,32700000,0.252940,0.770911,0.476149,2
658,32800000,0.250821,0.769270,0.479909,2
660,32900000,0.248742,0.767587,0.483672,2
662,33000000,0.246702,0.765861,0.487437,2
664,33100000,0.244702,0.764094,0.491205,2
666,33200000,0.242742,0.762284,0.494974,2
668,33300000,0.240823,0.760434,0.498743,2
670,33400000,0.238945,0.758542,0.502513,2
672,33500000,0.237108,0.756609,0.506283,2
674,33600000,0.235313,0.754636,0.510051,2
676,33700000,0.233559,0.752623,0.513818,2
678,33800000,0.231848,0.750570,0.517583,2
680,33900000,0.230178,0.748477,0.521345,2
682,34000000,0.228552,0.746345,0.525103,2
684,34100000,0.226968,0.744174,0.528858,2
686,34200000,0.225428,0.741964,0.532608,2
688,34300000,0.223930,0.739717,0.536353,2
690,34400000,0.222477,0.737431,0.540092,2
692,34500000,0.221067,0.735108,0.543825,2
694,34600000,0.219701,0.732748,0.547551,2
696,34700000,0.218380,0.730351,0.551269,2
698,34800000,0.217103,0.727918,0.554980,2
700,34900000,0.215871,0.725448,0.558681,2
702,35000000,0.214683,0.722943,0.562374,2
704,35100000,0.213541,0.720403,0.566056,2
706,35200000,0.212443,0.717828,0.569728,2
708,35300000,0.211392,0.715219,0.573389,2
710,35400000,0.210386,0.712576,0.577039,2
712,35500000,0.209425,0.709899,0.580676,2
714,35600000,0.208510,0.707189,0.584301,2
716,35700000,0.207642,0.704446,0.587912,2
718,35800000,0.206820,0.701671,0.591509,2
720,35900000,0.206043,0.698864,0.595092,2
722,36000000,0.205314,0.696026,0.598660,2
724,36100000,0.204631,0.693157,0.602212,2
726,36200000,0.203994,0.690257,0.605749,2
728,36300000,0.203404,0.687328,0.609268,2
730,36400000,0.202862,0.684368,0.612770,2
732,36500000,0.202366,0.681380,0.616255,2
734,36600000,0.201917,0.678363,0.619721,2
736,36700000,0.201515,0.675317,0.623168,2
738,36800000,0.201160,0.672244,0.626596,2
740,36900000,0.200852,0.669144,0.630003,2
742,37000000,0.200592,0.666017,0.633391,2
744,37100000,0.200379,0.662864,0.636757,2
746,37200000,0.200213,0.659686,0.640101,2
748,37300000,0.200095,0.656482,0.643424,2
750,37400000,0.200024,0.653253,0.646723,2
752,37500000,0.200000,0.650000,0.650000,2
754,37600000,0.200024,0.646723,0.653253,2
756,37700000,0.200095,0.643424,0.656482,2
758,37800000,0.200213,0.640101,0.659686,2
760,37900000,0.200379,0.636757,0.662864,2
762,38000000,0.200592,0.633391,0.666017,2
764,38100000,0.200852,0.630003,0.669144,2
766,38200000,0.201160,0.626596,0.672244,2
768,38300000,0.201515,0.623168,0.675317,2
770,38400000,0.201917,0.619721,0.678363,2
772,38500000,0.202366,0.616255,0.681380,2
774,38600000,0.202862,0.612770,0.684368,2
776,38700000,0.203404,0.609268,0.687328,2
778,38800000,0.203994,0.605749,0.690257,2
780,38900000,0.204631,0.602212,0.693157,2
782,39000000,0.205314,0.598660,0.696026,2
784,39100000,0.206043,0.595092,0.698864,2
786,39200000,0.206820,0.591509,0.701671,2
788,39300000,0.207642,0.587912,0.704446,2
790,39400000,0.208510,0.584301,0.707189,2
792,39500000,0.209425,0.580676,0.709899,2
794,39600000,0.210386,0.577039,0.712576,2
796,39700000,0.211392,0.573389,0.715219,2
798,39800000,0.212443,0.569728,0.717828,2
800,39900000,0.213541,0.566056,0.720403,2
802,40000000,0.214683,0.562374,0.722943,2
804,40100000,0.215871,0.558681,0.725448,2
806,40200000,0.217103,0.554980,0.727918,2
808,40300000,0.218380,0.551269,0.730351,2
810,40400000,0.219701,0.547551,0.732748,2
812,40500000,0.221067,0.543825,0.735108,2
814,40600000,0.222477,0.540092,0.737431,2
816,40700000,0.223930,0.536353,0.739717,2
818,40800000,0.225428,0.532608,0.741964,2
820,40900000,0.226968,0.528858,0.744174,2
822,41000000,0.228552,0.525103,0.746345,2
824,41100000,0.230178,0.521345,0.748477,2
826,41200000,0.231848,0.517583,0.750570,2
828,41300000,0.233559,0.513818,0.752623,2
830,41400000,0.235313,0.510051,0.754636,2
832,41500000,0.237108,0.506283,0.756609,2
834,41600000,0.238945,0.502513,0.758542,2
836,41700000,0.240823,0.498743,0.760434,2
838,41800000,0.242742,0.494974,0.762284,2
840,41900000,0.244702,0.491205,0.764094,2
842,42000000,0.246702,0.487437,0.765861,2
844,42100000,0.248742,0.483672,0.767587,2
846,42200000,0.250821,0.479909,0.769270,2
848,42300000,0.252940,0.476149,0.770911,2
850,42400000,0.255098,0.472393,0.772509,2
852,42500000,0.257295,0.468641,0.774064,2
854,42600000,0.259530,0.464895,0.775575,2
856,42700000,0.261803,0.461154,0.777043,2
858,42800000,0.264113,0.457419,0.778468,2
860,42900000,0.266461,0.453690,0.779848,2
862,43000000,0.268846,0.449969,0.781185,2
864,43100000,0.271267,0.446256,0.782476,2
866,43200000,0.273725,0.442552,0.783724,2
868,43300000,0.276218,0.438856,0.784926,2
870,43400000,0.278746,0.435170,0.786084,2
872,43500000,0.281309,0.431495,0.787196,2
874,43600000,0.283907,0.427830,0.788263,2
876,43700000,0.286539,0.424177,0.789284,2
878,43800000,0.289205,0.420535,0.790260,2
880,43900000,0.291904,0.416906,0.791190,2
882,44000000,0.294636,0.413290,0.792074,2
884,44100000,0.297400,0.409688,0.792911,2
886,44200000,0.300196,0.406101,0.793703,2
888,44300000,0.303024,0.402528,0.794448,2
890,44400000,0.305883,0.398970,0.795147,2
892,44500000,0.308773,0.395428,0.795799,2
894,44600000,0.311693,0.391903,0.796404,2
896,44700000,0.314642,0.388395,0.796963,2
898,44800000,0.317621,0.384905,0.797474,2
900,44900000,0.320629,0.381433,0.797939,2
902,45000000,0.323664,0.377979,0.798357,2
904,45100000,0.326728,0.374545,0.798727,2
906,45200000,0.329819,0.371130,0.799050,2
908,45300000,0.332937,0.367736,0.799326,2
910,45400000,0.336082,0.364363,0.799555,2
912,45500000,0.339252,0.361011,0.799737,2
914,45600000,0.342448,0.357681,0.799871,2
916,45700000,0.345668,0.354374,0.799958,2
918,45800000,0.348913,0.351090,0.799997,2
920,45900000,0.352182,0.347829,0.799989,2
922,46000000,0.355474,0.344592,0.799934,2
924,46100000,0.358789,0.341380,0.799832,2
926,46200000,0.362126,0.338192,0.799682,2
928,46300000,0.365485,0.335031,0.799484,2
930,46400000,0.368865,0.331895,0.799240,2
932,46500000,0.372266,0.328786,0.798948,2
934,46600000,0.375687,0.325704,0.798609,2
936,46700000,0.379128,0.322649,0.798223,2
938,46800000,0.382588,0.319623,0.797789,2
940,46900000,0.386066,0.316625,0.797309,2
942,47000000,0.389563,0.313656,0.796782,2
944,47100000,0.393076,0.310716,0.796208,2
946,47200000,0.396607,0.307806,0.795587,2
948,47300000,0.400154,0.304927,0.794919,2
950,47400000,0.403717,0.302078,0.794205,2
952,47500000,0.407295,0.299261,0.793444,2
954,47600000,0.410888,0.296475,0.792637,2
956,47700000,0.414494,0.293722,0.791784,2
958,47800000,0.418114,0.291001,0.790885,2
960,47900000,0.421748,0.288313,0.789940,2
962,48000000,0.425393,0.285658,0.788949,2
964,48100000,0.429050,0.283038,0.787912,2
966,48200000,0.432719,0.280451,0.786830,2
968,48300000,0.436398,0.277899,0.785703,2
970,48400000,0.440087,0.275383,0.784530,2
972,48500000,0.443786,0.272901,0.783313,2
974,48600000,0.447493,0.270456,0.782051,2
976,48700000,0.451209,0.268047,0.780744,2
978,48800000,0.454932,0.265675,0.779393,2
980,48900000,0.458663,0.263339,0.777998,2
982,49000000,0.462400,0.261041,0.776559,2
984,49100000,0.466143,0.258781,0.775076,2
986,49200000,0.469891,0.256558,0.773550,2
988,49300000,0.473645,0.254375,0.771981,2
990,49400000,0.477402,0.252230,0.770369,2
992,49500000,0.481163,0.250124,0.768714,2
994,49600000,0.484927,0.248057,0.767016,2
996,49700000,0.488693,0.246031,0.765277,2
998,49800000,0.492461,0.244044,0.763495,2
1000,49900000,0.496230,0.242098,0.761672,2
1002,50000000,0.500000,0.240192,0.759808,2
1004,50100000,0.503770,0.238328,0.757902,2
1006,50200000,0.507539,0.236505,0.755956,2
1008,50300000,0.511307,0.234723,0.753969,2
1010,50400000,0.515073,0.232984,0.751943,2
1012,50500000,0.518837,0.231286,0.749876,2
1014,50600000,0.522598,0.229631,0.747770,2
1016,50700000,0.526355,0.228019,0.745625,2
1018,50800000,0.530109,0.226450,0.743442,2
1020,50900000,0.533857,0.224924,0.741219,2
1022,51000000,0.537600,0.223441,0.738959,2
1024,51100000,0.541337,0.222002,0.736661,2
1026,51200000,0.545068,0.220607,0.734325,2
1028,51300000,0.548791,0.219256,0.731953,2
1030,51400000,0.552507,0.217949,0.729544,2
1032,51500000,0.556214,0.216687,0.727099,2
1034,51600000,0.559913,0.215470,0.724617,2
1036,51700000,0.563602,0.214297,0.722101,2
1038,51800000,0.567281,0.213170,0.719549,2
1040,51900000,0.570950,0.212088,0.716962,2
1042,52000000,0.574607,0.211051,0.714342,2
1044,52100000,0.578252,0.210060,0.711687,2
1046,52200000,0.581886,0.209115,0.708999,2
1048,52300000,0.585506,0.208216,0.706278,2
1050,52400000,0.589112,0.207363,0.703525,2
1052,52500000,0.592705,0.206556,0.700739,2
1054,52600000,0.596283,0.205795,0.697922,2
1056,52700000,0.599846,0.205081,0.695073,2
1058,52800000,0.603393,0.204413,0.692194,2
1060,52900000,0.606924,0.203792,0.689284,2
1062,53000000,0.610437,0.203218,0.686344,2
1064,53100000,0.613934,0.202691,0.683375,2
1066,53200000,0.617412,0.202211,0.680377,2
1068,53300000,0.620872,0.201777,0.677351,2
1070,53400000,0.624313,0.201391,0.674296,2
1072,53500000,0.627734,0.201052,0.671214,2
1074,53600000,0.631135,0.200760,0.668105,2
1076,53700000,0.634515,0.200516,0.664969,2
1078,53800000,0.637874,0.200318,0.661808,2
1080,53900000,0.641211,0.200168,0.658620,2
1082,54000000,0.644526,0.200066,0.655408,2
1084,54100000,0.647818,0.200011,0.652171,2
1086,54200000,0.651087,0.200003,0.648910,2
1088,54300000,0.654332,0.200042,0.645626,2
1090,54400000,0.657552,0.200129,0.642319,2
1092,54500000,0.660748,0.200263,0.638989,2
1094,54600000,0.663918,0.200445,0.635637,2
1096,54700000,0.667063,0.200674,0.632264,2
1098,54800000,0.670181,0.200950,0.628870,2
1100,54900000,0.673272,0.201273,0.625455,2
1102,55000000,0.676336,0.201643,0.622021,2
1104,55100000,0.679371,0.202061,0.618567,2
1106,55200000,0.682379,0.202526,0.615095,2
1108,55300000,0.685358,0.203037,0.611605,2
1110,55400000,0.688307,0.203596,0.608097,2
1112,55500000,0.691227,0.204201,0.604572,2
1114,55600000,0.694117,0.204853,0.601030,2
1116,55700000,0.696976,0.205552,0.597472,2
1118,55800000,0.699804,0.206297,0.593899,2
1120,55900000,0.702600,0.207089,0.590312,2
1122,56000000,0.705364,0.207926,0.586710,2
1124,56100000,0.708096,0.208810,0.583094,2
1126,56200000,0.710795,0.209740,0.579465,2
1128,56300000,0.713461,0.210716,0.575823,2
1130,56400000,0.716093,0.211737,0.572170,2
1132,56500000,0.718691,0.212804,0.568505,2
1134,56600000,0.721254,0.213916,0.564830,2
1136,56700000,0.723782,0.215074,0.561144,2
1138,56800000,0.726275,0.216276,0.557448,2
1140,56900000,0.728733,0.217524,0.553744,2
1142,57000000,0.731154,0.218815,0.550031,2
1144,57100000,0.733539,0.220152,0.546310,2
1146,57200000,0.735887,0.221532,0.542581,2
1148,57300000,0.738197,0.222957,0.538846,2
1150,57400000,0.740470,0.224425,0.535105,2
1152,57500000,0.742705,0.225936,0.531359,2
1154,57600000,0.744902,0.227491,0.527607,2
1156,57700000,0.747060,0.229089,0.523851,2
1158,57800000,0.749179,0.230730,0.520091,2
1160,57900000,0.751258,0.232413,0.516328,2
1162,58000000,0.753298,0.234139,0.512563,2
1164,58100000,0.755298,0.235906,0.508795,2
1166,58200000,0.757258,0.237716,0.505026,2
1168,58300000,0.759177,0.239566,0.501257,2
1170,58400000,0.761055,0.241458,0.497487,2
1172,58500000,0.762892,0.243391,0.493717,2
1174,58600000,0.764687,0.245364,0.489949,2
1176,58700000,0.766441,0.247377,0.486182,2
1178,58800000,0.768152,0.249430,0.482417,2
1180,58900000,0.769822,0.251523,0.478655,2
1182,59000000,0.771448,0.253655,0.474897,2
1184,59100000,0.773032,0.255826,0.471142,2
1186,59200000,0.774572,0.258036,0.467392,2
1188,59300000,0.776070,0.260283,0.463647,2
1190,59400000,0.777523,0.262569,0.459908,2
1192,59500000,0.778933,0.264892,0.456175,2
1194,59600000,0.780299,0.267252,0.452449,2
1196,59700000,0.781620,0.269649,0.448731,2
1198,59800000,0.782897,0.272082,0.445020,2
1200,59900000,0.784129,0.274552,0.441319,2
1202,60000000,0.785317,0.277057,0.437626,2
1204,60100000,0.786459,0.279597,0.433944,2
